sort,logo,name,percentage,price,rating,release,ends,started
,https://steamdb.info/static/img/applogo.svg,"Inertial Drift
new historical low",-90%,"1,99€",84.07%,Sep 2020,,
,https://steamdb.info/static/img/applogo.svg,"Call of Juarez: Bound in Blood
new historical low",-90%,"0,99€",83.47%,Jun 2009,,
,https://steamdb.info/static/img/applogo.svg,"The Outer Worlds
new historical low",-50%,"14,99€",82.22%,Oct 2020,,
,https://steamdb.info/static/img/applogo.svg,"Eternal Threads
new historical low",-75%,"4,99€",81.69%,May 2022,,
,https://steamdb.info/static/img/applogo.svg,"No Man's Sky
Top Seller
2-year low: 27,49€",-50%,"29,49€",79.62%,Aug 2016,,
,https://steamdb.info/static/img/applogo.svg,"Total War: WARHAMMER III
Top Seller",-50%,"29,99€",65.43%,Feb 2022,,
,https://steamdb.info/static/img/applogo.svg,"Portal
all-time low: 0,81€ at -90%",-90%,"0,97€",97.17%,Oct 2007,,
,https://steamdb.info/static/img/applogo.svg,"The Henry Stickmin Collection
Daily Deal
all-time low: 6,24€ at -50%",-50%,"6,99€",96.69%,Aug 2020,,
,https://steamdb.info/static/img/applogo.svg,"American Truck Simulator
Weekend Deal
all-time low: 2,49€ at -94%",-75%,"4,99€",95.51%,Feb 2016,,
,https://steamdb.info/static/img/applogo.svg,Gorogoa,-70%,"4,19€",95.05%,Dec 2017,,
,https://steamdb.info/static/img/applogo.svg,Clone Drone in the Danger Zone,-55%,"7,55€",94.69%,Jul 2021,,
,https://steamdb.info/static/img/applogo.svg,Batman: Arkham Asylum Game of the Year Edition,-80%,"3,99€",94.64%,Mar 2010,,
,https://steamdb.info/static/img/applogo.svg,Monument Valley: Panoramic Edition,-50%,"3,49€",94.44%,Jul 2022,,
,https://steamdb.info/static/img/applogo.svg,"Monster Train
Daily Deal
all-time low: 4,19€ at -80%",-80%,"4,90€",93.81%,May 2020,,
,https://steamdb.info/static/img/applogo.svg,What Remains of Edith Finch,-75%,"4,62€",93.81%,Apr 2017,,
,https://steamdb.info/static/img/applogo.svg,"Detroit: Become Human
Week Long Deal
all-time low: 15,96€ at -60%",-60%,"15,99€",93.56%,Jun 2020,,
,https://steamdb.info/static/img/applogo.svg,"Refunct
Week Long Deal",-75%,"0,74€",93.41%,Oct 2015,,
,https://steamdb.info/static/img/applogo.svg,Hexcells,-70%,"0,89€",93.38%,Feb 2014,,
,https://steamdb.info/static/img/applogo.svg,Hexcells Infinite,-70%,"1,49€",93.22%,Sep 2014,,
,https://steamdb.info/static/img/applogo.svg,The Pedestrian,-70%,"5,85€",93.20%,Jan 2020,,
,https://steamdb.info/static/img/applogo.svg,"Call of Juarez: Gunslinger
Daily Deal
current 2-year low",-90%,"1,24€",93.19%,May 2013,,
,https://steamdb.info/static/img/applogo.svg,"Rakuen
Daily Deal
2-year low: 3,99€",-70%,"4,43€",93.00%,May 2017,,
,https://steamdb.info/static/img/applogo.svg,"POSTAL: Brain Damaged
Week Long Deal",-75%,"7,45€",92.91%,Jun 2022,,
,https://steamdb.info/static/img/applogo.svg,"Orbt XL
Week Long Deal
all-time low: 0,39€ at -51%",-51%,"0,49€",92.71%,Apr 2017,,
,https://steamdb.info/static/img/applogo.svg,XCOM: Enemy Unknown,-95%,"0,99€",92.68%,Oct 2012,,
,https://steamdb.info/static/img/applogo.svg,BioShock Infinite,-75%,"7,49€",92.60%,Mar 2013,,
,https://steamdb.info/static/img/applogo.svg,LiEat,-60%,"1,19€",92.33%,Feb 2016,,
,https://steamdb.info/static/img/applogo.svg,"Agent A: A puzzle in disguise
all-time low: 1,63€ at -80%",-90%,"1,67€",92.09%,Aug 2019,,
,https://steamdb.info/static/img/applogo.svg,Turnip Boy Commits Tax Evasion,-75%,"3,12€",91.95%,Apr 2021,,
,https://steamdb.info/static/img/applogo.svg,"Sizeable
Week Long Deal",-70%,"2,69€",91.91%,Mar 2021,,
,https://steamdb.info/static/img/applogo.svg,"Severed Steel
Week Long Deal",-80%,"4,19€",91.85%,Sep 2021,,
,https://steamdb.info/static/img/applogo.svg,Skul: The Hero Slayer,-50%,"8,39€",91.63%,Jan 2021,,
,https://steamdb.info/static/img/applogo.svg,Apewar,-60%,"0,79€",91.14%,Mar 2023,,
,https://steamdb.info/static/img/applogo.svg,Cyber Hook,-89%,"1,86€",91.02%,Sep 2020,,
,https://steamdb.info/static/img/applogo.svg,"Florence
all-time low: 1,64€ at -67%",-67%,"1,84€",90.93%,Feb 2020,,
,https://steamdb.info/static/img/applogo.svg,ASTRONEER,-60%,"11,99€",90.78%,Dec 2016,,
,https://steamdb.info/static/img/applogo.svg,LEGO® Batman™ 2: DC Super Heroes,-75%,"4,99€",90.76%,Jun 2012,,
,https://steamdb.info/static/img/applogo.svg,"Ding Dong XL
Week Long Deal
all-time low: 0,39€ at -51%",-51%,"0,49€",90.68%,Jun 2018,,
,https://steamdb.info/static/img/applogo.svg,"Rayman® Origins
Daily Deal
all-time low: 2,49€ at -75%",-70%,"2,99€",90.56%,Mar 2012,,
,https://steamdb.info/static/img/applogo.svg,"Impossible Creatures Steam Edition
Week Long Deal",-75%,"2,49€",90.54%,Jan 2003,,
,https://steamdb.info/static/img/applogo.svg,A Sky Full of Stars 仰望夜空的星辰,-70%,"5,39€",90.43%,Dec 2017,,
,https://steamdb.info/static/img/applogo.svg,Adventure of a Lifetime,-50%,"5,39€",90.39%,Apr 2018,,
,https://steamdb.info/static/img/applogo.svg,Hexcells Plus,-70%,"0,89€",90.34%,Feb 2014,,
,https://steamdb.info/static/img/applogo.svg,"Swarmlake
Week Long Deal
all-time low: 0,39€ at -51%",-80%,"0,59€",90.24%,Mar 2018,,
,https://steamdb.info/static/img/applogo.svg,Bad North: Jotunn Edition,-80%,"2,99€",90.24%,Nov 2018,,
,https://steamdb.info/static/img/applogo.svg,Four Last Things,-75%,"1,87€",90.22%,Feb 2017,,
,https://steamdb.info/static/img/applogo.svg,A Monster's Expedition,-60%,"9,80€",90.17%,Sep 2020,,
,https://steamdb.info/static/img/applogo.svg,"Potion Craft: Alchemist Simulator
Midweek Deal
all-time low: 7,49€ at -40%",-55%,"8,77€",90.17%,Dec 2022,,
,https://steamdb.info/static/img/applogo.svg,Timelie,-50%,"7,49€",90.15%,May 2020,,
,https://steamdb.info/static/img/applogo.svg,Record of Lodoss War-Deedlit in Wonder Labyrinth-,-50%,"8,39€",90.13%,Mar 2021,,
,https://steamdb.info/static/img/applogo.svg,"Penumbra: Black Plague Gold Edition
Week Long Deal",-90%,"0,97€",89.95%,Jan 2009,,
,https://steamdb.info/static/img/applogo.svg,GUILTY GEAR -STRIVE-,-50%,"19,99€",89.82%,Jun 2021,,
,https://steamdb.info/static/img/applogo.svg,Monument Valley 2: Panoramic Edition,-50%,"3,49€",89.37%,Jul 2022,,
,https://steamdb.info/static/img/applogo.svg,"Mosaique Neko Waifus 5
Week Long Deal",-70%,"0,89€",89.36%,Oct 2022,,
,https://steamdb.info/static/img/applogo.svg,Wall World,-50%,"3,44€",89.32%,Apr 2023,,
,https://steamdb.info/static/img/applogo.svg,SUPERHOT,-70%,"6,74€",89.25%,Feb 2016,,
,https://steamdb.info/static/img/applogo.svg,"POSTAL Redux
Week Long Deal",-88%,"1,05€",89.10%,May 2016,,
,https://steamdb.info/static/img/applogo.svg,Heroes of Might & Magic V: Tribes of the East,-75%,"2,49€",88.99%,Oct 2007,,
,https://steamdb.info/static/img/applogo.svg,"Seen
all-time low: 0,32€ at -86%",-83%,"0,49€",88.93%,Jun 2019,,
,https://steamdb.info/static/img/applogo.svg,Dome Keeper,-60%,"7,19€",88.93%,Sep 2022,,
,https://steamdb.info/static/img/applogo.svg,Atomicrops,-80%,"2,99€",88.90%,Sep 2020,,
,https://steamdb.info/static/img/applogo.svg,Whispers of a Machine,-80%,"2,99€",88.88%,Apr 2019,,
,https://steamdb.info/static/img/applogo.svg,If My Heart Had Wings,-80%,"2,99€",88.87%,Jun 2013,,
,https://steamdb.info/static/img/applogo.svg,Dōkyūsei: Bangin' Summer,-60%,"6,71€",88.85%,Apr 2022,,
,https://steamdb.info/static/img/applogo.svg,"Donut County
all-time low: 3,44€ at -70%",-70%,"3,59€",88.83%,Aug 2018,,
,https://steamdb.info/static/img/applogo.svg,Monobeno,-70%,"6,89€",88.75%,Jan 2018,,
,https://steamdb.info/static/img/applogo.svg,Dark Messiah of Might & Magic,-75%,"1,24€",88.67%,Oct 2006,,
,https://steamdb.info/static/img/applogo.svg,Metro 2033 Redux,-90%,"1,99€",88.63%,Aug 2014,,
,https://steamdb.info/static/img/applogo.svg,Metro: Last Light Redux,-90%,"1,99€",88.57%,Aug 2014,,
,https://steamdb.info/static/img/applogo.svg,Kero Blaster,-70%,"2,99€",88.56%,Nov 2015,,
,https://steamdb.info/static/img/applogo.svg,DEEEER Simulator: Your Average Everyday Deer Game,-50%,"6,24€",88.32%,Nov 2021,,
,https://steamdb.info/static/img/applogo.svg,Metro Exodus,-80%,"5,99€",88.21%,Feb 2019,,
,https://steamdb.info/static/img/applogo.svg,Snakebird,-65%,"2,44€",88.20%,May 2015,,
,https://steamdb.info/static/img/applogo.svg,KNIGHTS,-51%,"0,49€",88.18%,May 2016,,
,https://steamdb.info/static/img/applogo.svg,Tainted Grail: Conquest,-70%,"5,03€",88.16%,May 2021,,
,https://steamdb.info/static/img/applogo.svg,Havsala: Into the Soul Palace,-75%,"2,49€",87.79%,Jun 2022,,
,https://steamdb.info/static/img/applogo.svg,SnowRunner,-50%,"14,99€",87.79%,May 2021,,
,https://steamdb.info/static/img/applogo.svg,Last Call BBS,-50%,"9,75€",87.73%,Aug 2022,,
,https://steamdb.info/static/img/applogo.svg,Predynastic Egypt,-75%,"2,43€",87.41%,Oct 2016,,
,https://steamdb.info/static/img/applogo.svg,Fight Crab,-50%,"8,39€",87.39%,Jul 2020,,
,https://steamdb.info/static/img/applogo.svg,"Jagged Alliance 3
Week Long Deal",-50%,"22,49€",87.38%,Jul 2023,,
,https://steamdb.info/static/img/applogo.svg,GUILTY GEAR Xrd -SIGN-,-90%,"2,79€",87.26%,Dec 2015,,
,https://steamdb.info/static/img/applogo.svg,"Screencheat
Week Long Deal",-80%,"2,95€",87.26%,Oct 2014,,
,https://steamdb.info/static/img/applogo.svg,The Crooked Man,-50%,"1,49€",87.20%,Jan 2018,,
,https://steamdb.info/static/img/applogo.svg,Middle-earth™: Shadow of War™,-90%,"3,99€",87.07%,Oct 2017,,
,https://steamdb.info/static/img/applogo.svg,"Helen's Mysterious Castle
all-time low: 0,79€ at -60%",-59%,"0,81€",87.06%,Mar 2016,,
,https://steamdb.info/static/img/applogo.svg,Horny Warp: Hentai Fantasy,-50%,"3,44€",86.94%,Feb 2023,,
,https://steamdb.info/static/img/applogo.svg,"Penumbra Overture
Week Long Deal",-90%,"0,97€",86.86%,Mar 2007,,
,https://steamdb.info/static/img/applogo.svg,LEGO® Batman™ 3: Beyond Gotham,-90%,"4,99€",86.80%,Nov 2014,,
,https://steamdb.info/static/img/applogo.svg,Maneater,-65%,"11,89€",86.79%,May 2021,,
,https://steamdb.info/static/img/applogo.svg,Coffin of Ashes,-50%,"3,44€",86.63%,Dec 2016,,
,https://steamdb.info/static/img/applogo.svg,"Beyond: Two Souls
Week Long Deal",-70%,"5,99€",86.55%,Jun 2020,,
,https://steamdb.info/static/img/applogo.svg,1bitHeart,-60%,"1,19€",86.36%,Aug 2017,,
,https://steamdb.info/static/img/applogo.svg,"No Straight Roads: Encore Edition
Week Long Deal",-66%,"8,49€",86.34%,Oct 2021,,
,https://steamdb.info/static/img/applogo.svg,Batman™: Arkham Knight,-80%,"3,99€",86.25%,Jun 2015,,
,https://steamdb.info/static/img/applogo.svg,"It's Spring Again
Week Long Deal
all-time low: 0,39€ at -51%",-51%,"0,49€",86.16%,Feb 2016,,
,https://steamdb.info/static/img/applogo.svg,Sex and the Furry Titty 2: Sins of the City,-50%,"4,87€",86.16%,Sep 2022,,
,https://steamdb.info/static/img/applogo.svg,The Pathless,-60%,"14,79€",86.13%,Nov 2021,,
,https://steamdb.info/static/img/applogo.svg,"KeyWe
Week Long Deal",-66%,"8,49€",85.97%,Aug 2021,,
,https://steamdb.info/static/img/applogo.svg,SquareCells,-70%,"0,89€",85.65%,Dec 2015,,
,https://steamdb.info/static/img/applogo.svg,"Solasta: Crown of the Magister
Week Long Deal",-70%,"8,99€",85.61%,May 2021,,
,https://steamdb.info/static/img/applogo.svg,SurrounDead,-50%,"5,89€",85.56%,Jun 2022,,
,https://steamdb.info/static/img/applogo.svg,"Tcheco in the Castle of Lucio
Week Long Deal
all-time low: 0,39€ at -61%",-51%,"0,49€",85.30%,Jun 2015,,
,https://steamdb.info/static/img/applogo.svg,Solar Ash,-60%,"14,79€",85.24%,Dec 2022,,
,https://steamdb.info/static/img/applogo.svg,Sniper Elite: Nazi Zombie Army,-85%,"2,21€",85.21%,Feb 2013,,
,https://steamdb.info/static/img/applogo.svg,Zombie Army Trilogy,-90%,"4,19€",85.03%,Mar 2015,,
,https://steamdb.info/static/img/applogo.svg,"Late Shift
Daily Deal",-71%,"4,28€",84.04%,Apr 2017,,
,https://steamdb.info/static/img/applogo.svg,"SpellForce - Platinum Edition
Daily Deal
current 2-year low",-80%,"1,99€",83.91%,Nov 2009,,
,https://steamdb.info/static/img/applogo.svg,"SpellForce 3 Fallen God
Daily Deal",-80%,"3,99€",83.63%,Nov 2020,,
,https://steamdb.info/static/img/applogo.svg,"SpellForce 3 Soul Harvest
Daily Deal",-80%,"3,99€",81.27%,May 2019,,
,https://steamdb.info/static/img/applogo.svg,"The Elder Scrolls® Online
Weekend Deal
all-time low: 4,99€ at -75%",-70%,"5,99€",80.85%,Apr 2014,,
,https://steamdb.info/static/img/applogo.svg,"Miasma Chronicles
Daily Deal",-60%,"19,99€",76.97%,May 2023,,
,https://steamdb.info/static/img/applogo.svg,"HOT WHEELS UNLEASHED™
Daily Deal",-85%,"5,99€",76.41%,Sep 2021,,
,https://steamdb.info/static/img/applogo.svg,"Train Sim World® 4
Midweek Deal
new historical low",-70%,"10,49€",75.92%,Sep 2023,,
,https://steamdb.info/static/img/applogo.svg,"The Complex
Daily Deal
new historical low",-72%,"4,14€",75.13%,Mar 2020,,
,https://steamdb.info/static/img/applogo.svg,"SpellForce 3 Reforced
Daily Deal",-80%,"7,99€",74.63%,Dec 2017,,
,https://steamdb.info/static/img/applogo.svg,"The Shapeshifting Detective
Daily Deal
new historical low",-82%,"2,66€",74.26%,Nov 2018,,
,https://steamdb.info/static/img/applogo.svg,"The Elder Scrolls V: Skyrim VR
Weekend Deal",-75%,"14,99€",73.69%,Apr 2018,,
,https://steamdb.info/static/img/applogo.svg,"SpellForce 2 - Anniversary Edition
Daily Deal
current 2-year low",-80%,"2,99€",72.40%,Oct 2009,,
,https://steamdb.info/static/img/applogo.svg,"Bloodshore
Daily Deal
new historical low",-87%,"1,92€",68.08%,Nov 2021,,
,https://steamdb.info/static/img/applogo.svg,"The Bunker
Daily Deal
new historical low",-85%,"2,21€",67.85%,Sep 2016,,
,https://steamdb.info/static/img/applogo.svg,"Somerville
Daily Deal
new historical low",-65%,"6,99€",67.80%,Nov 2022,,
,https://steamdb.info/static/img/applogo.svg,"Cafe Owner Simulator
Daily Deal
new historical low",-60%,"7,39€",66.17%,Dec 2022,,
,https://steamdb.info/static/img/applogo.svg,"Who Pressed Mute on Uncle Marcus?
Daily Deal
new historical low",-80%,"2,95€",64.42%,Mar 2022,,
,https://steamdb.info/static/img/applogo.svg,"I Saw Black Clouds
Daily Deal
new historical low",-83%,"2,51€",61.27%,Mar 2021,,
